date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-05,ZA100HQG,ST8000DM002,8001563222016,0,98844072.0,5.0,0.0,4169793165.0,57220.0,5.0,0.0,0.0,32.0,27283.0,1.0,34779.0,32.0,98844072.0,0.0,0.0,0.0,57188.0,107434912688.0,477927983688.0
2023-01-06,ZA100HQG,ST8000DM002,8001563222016,0,95631216.0,5.0,0.0,4174342917.0,57244.0,5.0,0.0,0.0,32.0,27291.0,1.0,34795.0,32.0,95631216.0,0.0,0.0,0.0,57212.0,107480658960.0,478124966280.0
2023-01-07,ZA100HQG,ST8000DM002,8001563222016,0,31666184.0,5.0,0.0,4179811945.0,57267.0,5.0,0.0,0.0,32.0,27299.0,1.0,34809.0,32.0,31666184.0,0.0,0.0,0.0,57236.0,107520474736.0,478266302176.0
2023-01-08,ZA100HQG,ST8000DM002,8001563222016,0,165965440.0,5.0,0.0,4187086559.0,57291.0,5.0,0.0,0.0,32.0,27312.0,1.0,34811.0,32.0,165965440.0,0.0,0.0,0.0,57259.0,107566376712.0,478354699456.0
2023-01-09,ZA100HQG,ST8000DM002,8001563222016,0,111169336.0,5.0,0.0,4192404553.0,57315.0,5.0,0.0,0.0,32.0,27322.0,1.0,34829.0,32.0,111169336.0,0.0,0.0,0.0,57283.0,107610752216.0,478500969384.0
2023-01-10,ZA100HQG,ST8000DM002,8001563222016,0,205464536.0,5.0,0.0,4197140312.0,57338.0,5.0,0.0,0.0,32.0,27326.0,1.0,34852.0,32.0,205464536.0,0.0,0.0,0.0,57307.0,107654210736.0,478796283192.0
2023-01-01,ZA100HQP,ST8000DM002,8001563222016,0,166919104.0,5.0,0.0,3670599151.0,57234.0,5.0,0.0,0.0,23.0,16431.0,1.0,58619.0,23.0,166919104.0,0.0,0.0,0.0,57208.0,108507392392.0,428039713620.0
2023-01-02,ZA100HQP,ST8000DM002,8001563222016,0,5858160.0,5.0,0.0,3676476327.0,57258.0,5.0,0.0,0.0,23.0,16433.0,1.0,58630.0,23.0,5858160.0,0.0,0.0,0.0,57231.0,108538502648.0,428340721396.0
2023-01-03,ZA100HQP,ST8000DM002,8001563222016,0,110361296.0,5.0,0.0,3682301410.0,57281.0,5.0,0.0,0.0,23.0,16437.0,1.0,58636.0,23.0,110361296.0,0.0,0.0,0.0,57255.0,108564753368.0,428664008524.0
2023-01-04,ZA100HQP,ST8000DM002,8001563222016,0,130044544.0,5.0,0.0,3691591835.0,57317.0,5.0,0.0,0.0,23.0,16444.0,1.0,58646.0,23.0,130044544.0,0.0,0.0,0.0,57290.0,108602693192.0,428890036012.0
2023-01-05,ZA100HQP,ST8000DM002,8001563222016,0,170679360.0,5.0,0.0,3696560680.0,57340.0,5.0,0.0,0.0,23.0,16447.0,1.0,58670.0,23.0,170679360.0,0.0,0.0,0.0,57314.0,108630417400.0,429147872420.0
2023-01-06,ZA100HQP,ST8000DM002,8001563222016,0,211099760.0,5.0,0.0,3701184451.0,57364.0,5.0,0.0,0.0,23.0,16448.0,1.0,58723.0,23.0,211099760.0,0.0,0.0,0.0,57338.0,108656276048.0,429407711268.0
2023-01-07,ZA100HQP,ST8000DM002,8001563222016,0,32765600.0,5.0,0.0,3706686363.0,57388.0,5.0,0.0,0.0,23.0,16449.0,1.0,58726.0,23.0,32765600.0,0.0,0.0,0.0,57362.0,108692226448.0,429682781332.0
2023-01-08,ZA100HQP,ST8000DM002,8001563222016,0,58597960.0,5.0,0.0,3711696514.0,57412.0,5.0,0.0,0.0,23.0,16451.0,1.0,58741.0,23.0,58597960.0,0.0,0.0,0.0,57385.0,108723138208.0,429923484332.0
2023-01-09,ZA100HQP,ST8000DM002,8001563222016,0,91210704.0,5.0,0.0,3717540003.0,57435.0,5.0,0.0,0.0,23.0,16452.0,1.0,58754.0,23.0,91210704.0,0.0,0.0,0.0,57409.0,108753661288.0,430169956324.0
